"Link Text","URL"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631E102"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631E102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631E102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631E102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631E102"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1655146&type=N-PX"
"American High-Income Trust®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=026547109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=026547109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=026547109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=026547109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=026547109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=026547109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=026547109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=823620&type=N-PX"
"Capital World Bond Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=140541103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=140541103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=140541103"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=140541103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=140541103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=140541103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=140541103"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=812303&type=N-PX"
"Intermediate Bond Fund of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=458809100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=458809100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=458809100"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=458809100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=458809100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=458809100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=458809100"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=826813&type=N-PX"
"Short-Term Bond Fund of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=82524A102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=82524A102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=82524A102"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=82524A102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=82524A102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=82524A102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=82524A102"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1368040&type=N-PX"
"The Bond Fund of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=097873103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=097873103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=097873103"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=097873103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=097873103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=097873103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=097873103"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=13075&type=N-PX"
"U.S. Government Securities Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=026300103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=026300103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=026300103"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=026300103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=026300103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=026300103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=026300103"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=770161&type=N-PX"
"American Funds Short-Term Tax-Exempt Bond Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630W103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630W103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630W103"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630W103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630W103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630W103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630W103"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=845376&type=N-PX"
"American Funds Tax-Exempt Fund of New York®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630X101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630X101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630X101"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630X101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630X101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630X101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630X101"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1496999&type=N-PX"
"American High-Income Municipal Bond Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=026545103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=026545103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=026545103"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=026545103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=026545103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=026545103"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=026545103"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=925950&type=N-PX"
"Limited Term Tax-Exempt Bond Fund of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=532726106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=532726106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=532726106"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=532726106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=532726106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=532726106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=532726106"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=909427&type=N-PX"
"The Tax-Exempt Bond Fund of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=876902107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=876902107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=876902107"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=876902107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=876902107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=876902107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=876902107"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=50142&type=N-PX"
"The Tax-Exempt Fund of California®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630B109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630B109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630B109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630B109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630B109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630B109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630B109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=794389&type=N-PX"
"American Funds® U.S. Government Money Market Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630U107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630U107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630U107"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630U107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630U107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630U107"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630U107"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1454975&type=N-PX"
"American Funds® Conservative Growth and Income Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y448"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y448"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y448"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630Y448"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630Y448"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630Y448"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630Y448"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Global Growth Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630R617"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630R617"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630R617"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630R617"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630R617"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630R617"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630R617"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Growth Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630R781"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630R781"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630R781"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630R781"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630R781"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630R781"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630R781"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Growth and Income Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630R203"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630R203"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630R203"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630R203"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630R203"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630R203"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630R203"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Moderate Growth and Income Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y265"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y265"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y265"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630Y265"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630Y265"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630Y265"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630Y265"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Preservation Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y794"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y794"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y794"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630Y794"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630Y794"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630Y794"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630Y794"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Tax-Aware Conservative Growth and Income Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y620"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y620"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y620"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630Y620"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630Y620"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630Y620"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630Y620"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Tax-Exempt Preservation Portfolio",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630Y109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630Y109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630Y109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630Y109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630Y109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630Y109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630Y109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1537151&type=N-PX"
"American Funds® Retirement Income Portfolio — Conservative",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631L106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631L106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631L106"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631L106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631L106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631L106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631L106"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1640102&type=N-PX"
"American Funds® Retirement Income Portfolio — Enhanced",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631L718"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631L718"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631L718"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631L718"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631L718"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631L718"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631L718"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1640102&type=N-PX"
"American Funds® Retirement Income Portfolio — Moderate",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631L841"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631L841"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631L841"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631L841"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631L841"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631L841"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631L841"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1640102&type=N-PX"
"American Funds 2010 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T100"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T100"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2015 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T704"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T704"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T704"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T704"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T704"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T704"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T704"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2020 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T845"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T845"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T845"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T845"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T845"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T845"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T845"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2025 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T779"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T779"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T779"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T779"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T779"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T779"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T779"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2030 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T712"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T712"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T712"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T712"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T712"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T712"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T712"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2035 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T647"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T647"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T647"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T647"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T647"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T647"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T647"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2040 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T571"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T571"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T571"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T571"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T571"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T571"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T571"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2045 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T514"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T514"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T514"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T514"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T514"
